"role","emailAddress","hashedPassword","firstName","lastName","highestQualification","occupation","employerDetail","mobileNumber","conference","topicAreas","paper"
"admin","admin@cms.com","700F1017F941008C4FC39118E2840DE6B4FE0B2B9254C9B9A0AFDCACDEBB84E4","","","","","","","","",""
"normal","chair1@mail.com","700F1017F941008C4FC39118E2840DE6B4FE0B2B9254C9B9A0AFDCACDEBB84E4","Harry","Potter","Master ","Lecturer","Monash University","4123456789","","",""
"normal","author1@mail.com","700F1017F941008C4FC39118E2840DE6B4FE0B2B9254C9B9A0AFDCACDEBB84E4","Ron","Weasley","Bachelor","Student","Melbourne University","4234567890","","",""
"normal","author2@mail.com","700F1017F941008C4FC39118E2840DE6B4FE0B2B9254C9B9A0AFDCACDEBB84E4","Arles","James","Master ","Student","Monash University","2345628970","","",""
"normal","reviewer1@mail.com","700F1017F941008C4FC39118E2840DE6B4FE0B2B9254C9B9A0AFDCACDEBB84E4","Hermione","Granger","PhD","Researcher","Harvard University","9876543212","","",""
"normal","reviewer2@mail.com","700F1017F941008C4FC39118E2840DE6B4FE0B2B9254C9B9A0AFDCACDEBB84E4","Ron","Owen","PhD","Researcher","RMIT University","6343454323","","",""
"Chair","chair1@mail.com","700F1017F941008C4FC39118E2840DE6B4FE0B2B9254C9B9A0AFDCACDEBB84E4","Harry","Potter","Master ","Lecturer","Monash University","4123456789","Cyber To Security","",""
"Chair","chair1@mail.com","700F1017F941008C4FC39118E2840DE6B4FE0B2B9254C9B9A0AFDCACDEBB84E4","Harry","Potter","Master ","Lecturer","Monash University","4123456789","Artificial To Intelligence","",""
"Chair","chair1@mail.com","700F1017F941008C4FC39118E2840DE6B4FE0B2B9254C9B9A0AFDCACDEBB84E4","Harry","Potter","Master ","Lecturer","Monash University","4123456789","Data Mining Talk","",""
"Chair","chair1@mail.com","700F1017F941008C4FC39118E2840DE6B4FE0B2B9254C9B9A0AFDCACDEBB84E4","Harry","Potter","Master ","Lecturer","Monash University","4123456789","Network Structure Technology","",""
"Chair","chair1@mail.com","700F1017F941008C4FC39118E2840DE6B4FE0B2B9254C9B9A0AFDCACDEBB84E4","Harry","Potter","Master ","Lecturer","Monash University","4123456789","Image Processing using AI","",""
"Author","author1@mail.com","700F1017F941008C4FC39118E2840DE6B4FE0B2B9254C9B9A0AFDCACDEBB84E4","Ron","Weasley","Bachelor","Student","Melbourne University","4234567890","Cyber To Security","","Security Knowledge/Artificial Intelligence In Security/Computer Network For Security/Security Related To Big Data"
"Author","author2@mail.com","700F1017F941008C4FC39118E2840DE6B4FE0B2B9254C9B9A0AFDCACDEBB84E4","Arles","James","Master ","Student","Monash University","2345628970","Cyber To Security","","AI To Security/Security Technology/Intro to Security/Big Data For Security/Robotic Security"
"Reviewer","reviewer1@mail.com","700F1017F941008C4FC39118E2840DE6B4FE0B2B9254C9B9A0AFDCACDEBB84E4","Hermione","Granger","PhD","Researcher","Harvard University","9876543212","Cyber To Security","Computer Networks","Artificial Intelligence In Security/Intro to Security/Big Data For Security"
"Reviewer","reviewer2@mail.com","700F1017F941008C4FC39118E2840DE6B4FE0B2B9254C9B9A0AFDCACDEBB84E4","Ron","Owen","PhD","Researcher","RMIT University","6343454323","Cyber To Security","Security & Cryptography","Computer Network For Security/Security Related To Big Data/AI To Security/Security Technology"
"Normal","normal.user@mail.com","700f1017f941008c4fc39118e2840de6b4fe0b2b9254c9b9a0afdcacdebb84e4","Normal","User","University","Student","Monash University","112345678","","",""
"Normal","normal.user2@mail.com","700f1017f941008c4fc39118e2840de6b4fe0b2b9254c9b9a0afdcacdebb84e4","Steven","Chow","College","Student","Monash College","1234567853","","",""
"Normal","normal.user3@mail.com","700f1017f941008c4fc39118e2840de6b4fe0b2b9254c9b9a0afdcacdebb84e4","Steph","John","PhD","Researcher","Oford University","986745321","","",""
