role,emailAddress,hashedPassword,firstName,lastName,highestQualification,occupation,employerDetail,mobileNumber,conference,topicAreas,paper
admin,admin@cms.com,700F1017F941008C4FC39118E2840DE6B4FE0B2B9254C9B9A0AFDCACDEBB84E4,,,,,,,,,
normal,chair1@mail.com,700F1017F941008C4FC39118E2840DE6B4FE0B2B9254C9B9A0AFDCACDEBB84E4,Harry,Potter,Master ,Lecturer,Monash University,4123456789,,,
normal,author1@mail.com,700F1017F941008C4FC39118E2840DE6B4FE0B2B9254C9B9A0AFDCACDEBB84E4,Ron,Weasley,Bachelor,Student,Melbourne University,4234567890,,,
normal,author2@mail.com,700F1017F941008C4FC39118E2840DE6B4FE0B2B9254C9B9A0AFDCACDEBB84E4,Arles,James,Master ,Student,Monash University,2345628970,,,
normal,reviewer1@mail.com,700F1017F941008C4FC39118E2840DE6B4FE0B2B9254C9B9A0AFDCACDEBB84E4,Hermione,Granger,PhD,Researcher,Harvard University,9876543212,,,
normal,reviewer2@mail.com,700F1017F941008C4FC39118E2840DE6B4FE0B2B9254C9B9A0AFDCACDEBB84E4,Ron,Owen,PhD,Researcher,RMIT University,6343454323,,,
normal,reviewer3@mail.com,700F1017F941008C4FC39118E2840DE6B4FE0B2B9254C9B9A0AFDCACDEBB84E4,Ron,Tiny,PhD,Researcher,National University Singapore,4543256893,,,
Chair,chair1@mail.com,700F1017F941008C4FC39118E2840DE6B4FE0B2B9254C9B9A0AFDCACDEBB84E4,Harry,Potter,Master ,Lecturer,Monash University,4123456789,Cyber To Security,,
Chair,chair1@mail.com,700F1017F941008C4FC39118E2840DE6B4FE0B2B9254C9B9A0AFDCACDEBB84E4,Harry,Potter,Master ,Lecturer,Monash University,4123456789,Artificial To Intelligence,,
Chair,chair1@mail.com,700F1017F941008C4FC39118E2840DE6B4FE0B2B9254C9B9A0AFDCACDEBB84E4,Harry,Potter,Master ,Lecturer,Monash University,4123456789,Data Mining Talk,,
Chair,chair1@mail.com,700F1017F941008C4FC39118E2840DE6B4FE0B2B9254C9B9A0AFDCACDEBB84E4,Harry,Potter,Master ,Lecturer,Monash University,4123456789,Network Structure Technology,,
Chair,chair1@mail.com,700F1017F941008C4FC39118E2840DE6B4FE0B2B9254C9B9A0AFDCACDEBB84E4,Harry,Potter,Master ,Lecturer,Monash University,4123456789,Image Processing using AI,,
Author,author1@mail.com,700F1017F941008C4FC39118E2840DE6B4FE0B2B9254C9B9A0AFDCACDEBB84E4,Ron,Weasley,Bachelor,Student,Melbourne University,4234567890,Cyber To Security,,Security Knowledge/Artificial Intelligence In Security/Computer Network For Security/Security Related To Big Data
Author,author2@mail.com,700F1017F941008C4FC39118E2840DE6B4FE0B2B9254C9B9A0AFDCACDEBB84E4,Arles,James,Master ,Student,Monash University,2345628970,Artificial To Intelligence,,AI Technology/Intro to AI/Big Data For AI/Robotic AI
Reviewer,reviewer1@mail.com,700F1017F941008C4FC39118E2840DE6B4FE0B2B9254C9B9A0AFDCACDEBB84E4,Hermione,Granger,PhD,Researcher,Harvard University,9876543212,Cyber To Security,Computer Networks,Security Knowledge
Reviewer,reviewer2@mail.com,700F1017F941008C4FC39118E2840DE6B4FE0B2B9254C9B9A0AFDCACDEBB84E4,Ron,Owen,PhD,Researcher,RMIT University,6343454323,Cyber To Security,Security & Cryptography,
Reviewer,reviewer3@mail.com,700F1017F941008C4FC39118E2840DE6B4FE0B2B9254C9B9A0AFDCACDEBB84E4,Ron,Tiny,PhD,Researcher,National University Singapore,4543256893,Cyber To Security,Artificial Intelligence/Security & Cryptography,
